species,canonicalName
Diuris leopardina D.L.Jones & R.J.Bates,Diuris leopardina
Baumea articulata (R.Br.) S.T.Blake,Baumea articulata
Cycas angulata R.Br.,Cycas angulata
Cycas arenicola K.D.Hill,Cycas arenicola
Cycas armstrongii Miq.,Cycas armstrongii
Cycas arnhemica K.D.Hill,Cycas arnhemica
Cycas badensis K.D.Hill,Cycas badensis
Cycas basaltica C.A.Gardner,Cycas basaltica
Cycas brunnea K.D.Hill,Cycas brunnea
Cycas cairnsiana F.Muell.,Cycas cairnsiana
Cycas calcicola Maconochie,Cycas calcicola
Cycas canalis K.D.Hill,Cycas canalis
Cycas candida K.D.Hill,Cycas candida
Cycas conferta Chirgwin,Cycas conferta
Cycas couttsiana K.D.Hill,Cycas couttsiana
Cycas cupida P.I.Forst.,Cycas cupida
Cycas desolata P.I.Forst.,Cycas desolata
Cycas distans P.I.Forst. & B.Gray,Cycas distans
Cycas furfuracea W.Fitzg.,Cycas furfuracea
Cycas lane-poolei C.A.Gardner,Cycas lane-poolei
Cycas maconochiei Chirgwin & K.D.Hill,Cycas maconochiei
Cycas media R.Br.,Cycas media
Cycas megacarpa K.D.Hill,Cycas megacarpa
Cycas ophiolitica K.D.Hill,Cycas ophiolitica
Cycas orientis K.D.Hill,Cycas orientis
Cycas platyphylla K.D.Hill,Cycas platyphylla
Cycas pruinosa Maconochie,Cycas pruinosa
Cycas rumphii Miq.,Cycas rumphii
Cycas scratchleyana F.Muell.,Cycas scratchleyana
Cycas semota K.D.Hill,Cycas semota
Cycas silvestris K.D.Hill,Cycas silvestris
Cycas terryana P.I.Forst.,Cycas terryana
Cycas tuckeri K.D.Hill,Cycas tuckeri
Cycas xipholepis K.D.Hill,Cycas xipholepis
Cycas yorkiana K.D.Hill,Cycas yorkiana
Bowenia serrulata (W.Bull) Chamb.,Bowenia serrulata
Bowenia spectabilis Hook. ex Hook.f.,Bowenia spectabilis
Lepidozamia hopei (W.Hill) Regel,Lepidozamia hopei
Lepidozamia peroffskyana Regel,Lepidozamia peroffskyana
Macrozamia cardiacensis P.I.Forst. & D.L.Jones,Macrozamia cardiacensis
Macrozamia communis L.A.S.Johnson,Macrozamia communis
Macrozamia concinna D.L.Jones,Macrozamia concinna
Macrozamia conferta D.L.Jones & P.I.Forst.,Macrozamia conferta
Macrozamia cranei D.L.Jones & P.I.Forst.,Macrozamia cranei
Macrozamia crassifolia P.I.Forst. & D.L.Jones,Macrozamia crassifolia
Macrozamia diplomera (F.Muell.) L.A.S.Johnson,Macrozamia diplomera
Macrozamia douglasii W.Hill ex F.M.Bailey,Macrozamia douglasii
Macrozamia dyeri (F.Muell.) C.A.Gardner,Macrozamia dyeri
Macrozamia elegans K.D.Hill & D.L.Jones,Macrozamia elegans
Macrozamia fawcettii C.Moore,Macrozamia fawcettii
Macrozamia fearnsidei D.L.Jones,Macrozamia fearnsidei
Macrozamia flexuosa C.Moore,Macrozamia flexuosa
Macrozamia fraseri Miq.,Macrozamia fraseri
Macrozamia glaucophylla D.L.Jones,Macrozamia glaucophylla
Macrozamia heteromera C.Moore,Macrozamia heteromera
Macrozamia humilis D.L.Jones,Macrozamia humilis
Macrozamia johnsonii D.L.Jones & K.D.Hill,Macrozamia johnsonii
Macrozamia lomandroides D.L.Jones,Macrozamia lomandroides
Macrozamia longispina P.I.Forst. & D.L.Jones,Macrozamia longispina
Macrozamia lucida L.A.S.Johnson,Macrozamia lucida
Macrozamia macdonnellii (F.Muell. ex Miq.) F.Muell. ex A.DC.,Macrozamia macdonnellii
Macrozamia machinii P.I.Forst. & D.L.Jones,Macrozamia machinii
Macrozamia macleayi Miq.,Macrozamia macleayi
Macrozamia miquelii (F.Muell.) A.DC.,Macrozamia miquelii
Macrozamia montana K.D.Hill,Macrozamia montana
Macrozamia moorei F.Muell.,Macrozamia moorei
Macrozamia mountperriensis F.M.Bailey,Macrozamia mountperriensis
Macrozamia occidua D.L.Jones & P.I.Forst.,Macrozamia occidua
Macrozamia parcifolia P.I.Forst. & D.L.Jones,Macrozamia parcifolia
Macrozamia pauli-guilielmi W.Hill & F.Muell.,Macrozamia pauli-guilielmi
Macrozamia platyrhachis F.M.Bailey,Macrozamia platyrhachis
Macrozamia plurinervia (L.A.S.Johnson) D.L.Jones,Macrozamia plurinervia
Macrozamia polymorpha D.L.Jones,Macrozamia polymorpha
Macrozamia reducta K.D.Hill & D.L.Jones,Macrozamia reducta
Macrozamia riedlei (Fisch. ex Gaudich.) C.A.Gardner,Macrozamia riedlei
Macrozamia secunda (Benth.) C.Moore,Macrozamia secunda
Macrozamia serpentina D.L.Jones & P.I.Forst.,Macrozamia serpentina
Macrozamia spiralis (Salisb.) Miq.,Macrozamia spiralis
Macrozamia stenomera L.A.S.Johnson,Macrozamia stenomera
Macrozamia viridis D.L.Jones & P.I.Forst.,Macrozamia viridis
Isoetes attenuata C.R.Marsden & Chinnock,Isoetes attenuata
Isoetes australis S.Williams,Isoetes australis
Isoetes brevicula E.R.L.Johnson,Isoetes brevicula
Isoetes caroli E.R.L.Johnson,Isoetes caroli
Isoetes coromandelina L.f.,Isoetes coromandelina
Isoetes cristata C.R.Marsden & Chinnock,Isoetes cristata
Isoetes drummondii A.Braun,Isoetes drummondii
Isoetes elatior F.Muell. ex A.Braun,Isoetes elatior
Isoetes gunnii A.Braun,Isoetes gunnii
Isoetes humilior F.Muell. ex A.Braun,Isoetes humilior
Isoetes inflata E.R.L.Johnson,Isoetes inflata
Isoetes mongerensis E.R.L.Johnson,Isoetes mongerensis
Isoetes muelleri A.Braun,Isoetes muelleri
Isoetes pusilla C.R.Marsden & Chinnock,Isoetes pusilla
Isoetes tripus A.Braun,Isoetes tripus
Huperzia australiana (Herter) Holub,Huperzia australiana
Huperzia phlegmarioides (Gaudich.) Rothm.,Huperzia phlegmarioides
Lycopodiella cernua (L.) Pic.Serm.,Lycopodiella cernua
